"","reads.in","reads.out"
"c24t1bf_S172_L001_R1_001.fastq.gz",22642,22638
"c24t1bw_S171_L001_R1_001.fastq.gz",9061,9060
"c24t1hull_S173_L001_R1_001.fastq.gz",60272,60264
"c24t1post_S136_L001_R1_001.fastq.gz",22899,22896
"c24t1pre_S135_L001_R1_001.fastq.gz",32438,32438
"c24t1rear_S174_L001_R1_001.fastq.gz",18883,18877
"c24t3bf_S451_L001_R1_001.fastq.gz",24071,24032
"c24t3bw_S450_L001_R1_001.fastq.gz",15182,15172
"c24t3hull_S452_L001_R1_001.fastq.gz",5870,5868
"c24t3post_S465_L001_R1_001.fastq.gz",14483,14480
"c24t3pre_S464_L001_R1_001.fastq.gz",24465,24464
"c24t3rear_S453_L001_R1_001.fastq.gz",1239,1239
"c25t1bf_S176_L001_R1_001.fastq.gz",25064,25060
"c25t1bw_S175_L001_R1_001.fastq.gz",17,17
"c25t1hull_S177_L001_R1_001.fastq.gz",6097,6097
"c25t1post_S138_L001_R1_001.fastq.gz",23741,23738
"c25t1pre_S137_L001_R1_001.fastq.gz",26039,26032
"c25t1rear_S178_L001_R1_001.fastq.gz",14560,14551
"c25t2bf_S236_L001_R1_001.fastq.gz",21942,21934
"c25t2bw_S235_L001_R1_001.fastq.gz",14186,14137
"c25t2hull_S237_L001_R1_001.fastq.gz",39870,39841
"c25t2post_S208_L001_R1_001.fastq.gz",21656,21650
"c25t2pre_S207_L001_R1_001.fastq.gz",19001,19001
"c25t2rear_S238_L001_R1_001.fastq.gz",7210,7208
"c25t3bf_S455_L001_R1_001.fastq.gz",11321,11320
"c25t3bw_S454_L001_R1_001.fastq.gz",4801,4801
"c25t3hull_S456_L001_R1_001.fastq.gz",5902,5900
"c25t3post_S467_L001_R1_001.fastq.gz",8752,8751
"c25t3pre_S466_L001_R1_001.fastq.gz",9370,9370
"c25t3rear_S457_L001_R1_001.fastq.gz",35429,35421
"c25t4bf_S482_L001_R1_001.fastq.gz",23102,23067
"c25t4bw_S481_L001_R1_001.fastq.gz",16142,16126
"c25t4hull_S483_L001_R1_001.fastq.gz",6547,6525
"c25t4post_S518_L001_R1_001.fastq.gz",30071,30065
"c25t4pre_S517_L001_R1_001.fastq.gz",26785,26783
"c26t2bf_S269_L001_R1_001.fastq.gz",17222,17221
"c26t2bw_S268_L001_R1_001.fastq.gz",10544,10540
"c26t2hull_S270_L001_R1_001.fastq.gz",25957,25955
"c26t2post_S253_L001_R1_001.fastq.gz",17443,17441
"c26t2pre_S252_L001_R1_001.fastq.gz",10188,10186
"c26t2rear_S271_L001_R1_001.fastq.gz",15070,15066
"c26t4bf_S540_L001_R1_001.fastq.gz",16914,16869
"c26t4bw_S539_L001_R1_001.fastq.gz",14429,14419
"c26t4hull_S541_L001_R1_001.fastq.gz",17562,17562
"c26t4post_S569_L001_R1_001.fastq.gz",33942,33937
"c26t4pre_S568_L001_R1_001.fastq.gz",25603,25602
"c26t4rear_S542_L001_R1_001.fastq.gz",24509,24505
"c27t2bf_S273_L001_R1_001.fastq.gz",22278,22269
"c27t2bw_S272_L001_R1_001.fastq.gz",13533,13530
"c27t2hull_S274_L001_R1_001.fastq.gz",14605,14603
"c27t2post_S255_L001_R1_001.fastq.gz",23869,23868
"c27t2pre_S254_L001_R1_001.fastq.gz",16433,16432
"c27t2rear_S275_L001_R1_001.fastq.gz",14343,14339
"c27t4bf_S544_L001_R1_001.fastq.gz",24807,24782
"c27t4bw_S543_L001_R1_001.fastq.gz",23232,23223
"c27t4hull_S545_L001_R1_001.fastq.gz",97453,97424
"c27t4post_S571_L001_R1_001.fastq.gz",13253,13249
"c27t4pre_S570_L001_R1_001.fastq.gz",34848,34841
"c27t4rear_S546_L001_R1_001.fastq.gz",72723,72702
"c2t1bf_S70_L001_R1_001.fastq.gz",24725,24675
"c2t1bw_S71_L001_R1_001.fastq.gz",19483,19451
"c2t1hull_S69_L001_R1_001.fastq.gz",21253,21248
"c2t1post_S1_L001_R1_001.fastq.gz",20898,20893
"c2t1pre_S3_L001_R1_001.fastq.gz",24036,24036
"c2t1rear_S68_L001_R1_001.fastq.gz",20375,20374
"c2t3bf_S314_L001_R1_001.fastq.gz",19646,19622
"c2t3bw_S313_L001_R1_001.fastq.gz",22764,22750
"c2t3hull_S315_L001_R1_001.fastq.gz",45984,45968
"c2t3post_S296_L001_R1_001.fastq.gz",12701,12700
"c2t3pre_S295_L001_R1_001.fastq.gz",15163,15162
"c2t3rear_S316_L001_R1_001.fastq.gz",980,979
"c3t1bf_S24_L001_R1_001.fastq.gz",16314,16313
"c3t1bw_S62_L001_R1_001.fastq.gz",20260,20255
"c3t1hull_S37_L001_R1_001.fastq.gz",20304,20301
"c3t1post_S15_L001_R1_001.fastq.gz",14890,14889
"c3t1pre_S6_L001_R1_001.fastq.gz",21009,21006
"c3t1rear_S27_L001_R1_001.fastq.gz",13886,13884
"c3t3bf_S318_L001_R1_001.fastq.gz",19893,19835
"c3t3bw_S317_L001_R1_001.fastq.gz",17375,17307
"c3t3hull_S319_L001_R1_001.fastq.gz",28654,28640
"c3t3post_S298_L001_R1_001.fastq.gz",10860,10860
"c3t3pre_S297_L001_R1_001.fastq.gz",13493,13488
"c3t3rear_S320_L001_R1_001.fastq.gz",16975,16969
"c4t1bf_S56_L001_R1_001.fastq.gz",18450,18442
"c4t1bw_S63_L001_R1_001.fastq.gz",23834,23833
"c4t1hull_S54_L001_R1_001.fastq.gz",15292,15284
"c4t1post_S18_L001_R1_001.fastq.gz",15509,15504
"c4t1pre_S14_L001_R1_001.fastq.gz",17726,17723
"c4t1rear_S48_L001_R1_001.fastq.gz",5737,5737
"c4t3bf_S322_L001_R1_001.fastq.gz",3613,3593
"c4t3bw_S321_L001_R1_001.fastq.gz",81410,81381
"c4t3hull_S323_L001_R1_001.fastq.gz",6341,6297
"c4t3post_S300_L001_R1_001.fastq.gz",10573,10573
"c4t3pre_S299_L001_R1_001.fastq.gz",7911,7910
"c4t3rear_S324_L001_R1_001.fastq.gz",7509,7509
"c5t1bf_S25_L001_R1_001.fastq.gz",21284,21273
"c5t1bw_S35_L001_R1_001.fastq.gz",5634,5632
"c5t1hull_S38_L001_R1_001.fastq.gz",19890,19885
"c5t1post_S2_L001_R1_001.fastq.gz",10803,10799
"c5t1pre_S4_L001_R1_001.fastq.gz",24489,24487
"c5t1rear_S28_L001_R1_001.fastq.gz",20372,20366
"c5t3bf_S326_L001_R1_001.fastq.gz",23226,23190
"c5t3bw_S325_L001_R1_001.fastq.gz",18666,18604
"c5t3hull_S327_L001_R1_001.fastq.gz",9162,9140
"c5t3post_S302_L001_R1_001.fastq.gz",24539,24537
"c5t3pre_S301_L001_R1_001.fastq.gz",21702,21698
"c5t3rear_S328_L001_R1_001.fastq.gz",66128,66103
"c6t1bf_S57_L001_R1_001.fastq.gz",21523,21515
"c6t1bw_S64_L001_R1_001.fastq.gz",17165,17162
"c6t1hull_S60_L001_R1_001.fastq.gz",13555,13551
"c6t1post_S10_L001_R1_001.fastq.gz",439,439
"c6t1pre_S8_L001_R1_001.fastq.gz",18433,18433
"c6t1rear_S49_L001_R1_001.fastq.gz",17967,17941
"c6t3bf_S330_L001_R1_001.fastq.gz",18929,18897
"c6t3bw_S329_L001_R1_001.fastq.gz",24518,24465
"c6t3hull_S331_L001_R1_001.fastq.gz",90691,90637
"c6t3post_S304_L001_R1_001.fastq.gz",12398,12398
"c6t3pre_S303_L001_R1_001.fastq.gz",30965,30965
"c6t3rear_S332_L001_R1_001.fastq.gz",21232,21223
"c7t1bf_S32_L001_R1_001.fastq.gz",11445,11443
"c7t1bw_S46_L001_R1_001.fastq.gz",12553,12545
"c7t1hull_S39_L001_R1_001.fastq.gz",17496,17487
"c7t1post_S22_L001_R1_001.fastq.gz",5721,5721
"c7t1pre_S20_L001_R1_001.fastq.gz",17028,17027
