sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-20,R1,not_duplicate,Box10-20
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-28,R1,not_duplicate,Box3-28
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-27,R1,not_duplicate,Box3-27
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-29,R1,not_duplicate,Box3-29
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-4,R1,not_duplicate,Box3-4
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-3,R1,not_duplicate,Box3-3
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-30,R1,not_duplicate,Box3-30
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-32,R1,not_duplicate,Box8-32
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-31,R1,not_duplicate,Box8-31
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-33,R1,not_duplicate,Box8-33
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-8,R1,not_duplicate,Box8-8
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-7,R1,not_duplicate,Box8-7
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-34,R1,not_duplicate,Box8-34
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-32,R1,not_duplicate,Box3-32
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-31,R1,not_duplicate,Box3-31
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-6,R1,not_duplicate,Box3-6
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-5,R1,not_duplicate,Box3-5
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-32,R1,not_duplicate,Box4-32
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-31,R1,not_duplicate,Box4-31
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box4-33,R1,not_duplicate,Box4-33
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-10,R1,not_duplicate,Box4-10
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-9,R1,not_duplicate,Box4-9
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-34,R1,not_duplicate,Box4-34
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-36,R1,not_duplicate,Box8-36
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-35,R1,not_duplicate,Box8-35
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-37,R1,not_duplicate,Box8-37
