"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1449","sp15827","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1450","sp15828","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1451","sp15831","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1452","sp15832","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","amazonensis",1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1453","sp15846","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys",NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1454","sp15847","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae",NA,NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1455","sp15848","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1456","sp15896","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29",NA,1.28846153846154,-0.954195931346152,0.45107934820435,-2.11536159911688,0.034399140068176,0.11698988489815,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1457","sp15897","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus MBIC10613",NA,1.17307692307692,-0.64385595643056,0.438222759222201,-1.46924353626301,0.141766745624057,0.308891875331127,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1458","sp15898","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,1.28846153846154,-0.954195931346152,0.45107934820435,-2.11536159911688,0.034399140068176,0.11698988489815,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1459","sp15908","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus",NA,1.13461538461538,-0.523561750101016,0.439487106678635,-1.19130172909454,0.233535155358343,0.410967601643437,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1460","sp15915","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,1.26923076923077,-0.906890259208545,0.436672928415956,-2.07681814052068,0.0378183472703763,0.125693632327198,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1461","sp15925","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10 marine group",NA,1.19230769230769,-0.7004394719569,0.435487466840744,-1.60840328434308,0.107746882826665,0.267479060064323,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1462","sp15942","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula",NA,1.28846153846154,-0.954195931346152,0.451079348204349,-2.11536159911688,0.0343991400681759,0.11698988489815,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1463","sp15943","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter",NA,1.28846153846154,-0.954195931346152,0.451079348204349,-2.11536159911688,0.0343991400681759,0.11698988489815,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1464","sp15944","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307","gracile",1.28846153846154,-0.954195931346152,0.451079348204349,-2.11536159911688,0.0343991400681759,0.11698988489815,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1465","sp16422","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","fluminis",1.17307692307692,0.459431519949586,0.465985327307108,0.985935592875005,0.324164719480128,0.478999067021838,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1466","sp16444","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","Halioglobus",NA,1.26923076923077,-1.74192886682489e-07,0.510163263604076,-3.41445374666717e-07,0.999999727566007,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1467","sp16459","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae",NA,NA,1.17307692307692,-1.16379753293442e-07,0.490152024611458,-2.37436035045853e-07,0.999999810553453,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1468","sp16460","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae",NA,NA,1.26923076923077,-1.74192887576401e-07,0.510163263604076,-3.41445376418924e-07,0.999999727566006,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1469","sp16493","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.26923076923077,-1.74192887777075e-07,0.510163263604076,-3.41445376812276e-07,0.999999727566006,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1470","sp16495","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10 marine group",NA,1.26923076923077,-1.74192887777075e-07,0.510163263604076,-3.41445376812277e-07,0.999999727566006,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1471","sp16514","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,1.26923076923077,0.662964859531572,0.480696601275332,1.37917525893186,0.167840724312081,0.341497061990306,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
